Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2001,19240,Filozoficko-přírodovědecká fakulta,1613,1338,1569,1311,337,334,254,254
2001,19520,Obchodně podnikatelská fakulta v Karviné,690,501,688,500,166,165,114,113
2001,19900,celoškolská pracoviště,51,37,51,37,29,29,20,20
2001,21000,České vysoké učení technické v Praze,1097,886,1060,867,660,649,503,500
2001,21220,Fakulta strojní,203,165,203,165,103,103,96,96
2001,21230,Fakulta elektrotechnická,468,375,467,375,275,275,202,202
2001,21260,Fakulta dopravní,145,102,142,100,82,80,63,61
2001,21340,Fakulta jaderná a fyzikálně inženýrská,281,244,281,244,200,200,142,142
2001,22000,Vysoká škola chemicko-technologická v Praze,165,128,158,123,98,98,95,95
2001,22310,Fakulta chemické technologie,36,23,34,23,15,15,15,15
2001,22320,Fakulta technologie ochrany prostředí,25,12,25,12,0,0,0,0
2001,22330,Fakulta potravinářské a biochemické technologie,54,45,54,45,36,36,35,35
