"RID","Zkrác. název VŠ","Název organizace","Obec","Ulice","č.p.","WWW"
"25310","U Pardubice","Fakulta chemicko-technologická","Pardubice","Studentská 573","","www.upce.cz"
"25410","U Pardubice","Fakulta ekonomicko-správní","Pardubice","Studentská ul. 84","","www.upce.cz"
"25510","U Pardubice","Dopravní fakulta Jana Pernera","Pardubice","Studentská ul. 95","","www.upce.cz"
"25520","U Pardubice","Fakulta zdravotnických studií","Pardubice","Průmyslová ul. 395","","www.upce.cz"
"25530","U Pardubice","Fakulta elektrotechniky a  informatiky","Pardubice","Studentská ul. 95","","www.upce.cz"
"26000","VUT v Brně","Vysoké učení technické v Brně","Brno","Antonínská 548/1","","www.vutbr.cz"
"26110","VUT v Brně","Fakulta stavební","Brno","Veveří 95","","www.fce.vutbr.cz"
"26210","VUT v Brně","Fakulta strojního inženýrství","Brno","Technická 2","","www.fme.vutbr.cz"
"26220","VUT v Brně","Fakulta elektrotechniky a komunikačních technologií","Brno","Technická 358/10","","www.fee.vutbr.cz"
"26230","VUT v Brně","Fakulta informačních technologií","Brno","Božetěchova 2","","www.fit.vutbr.cz"
"26310","VUT v Brně","Fakulta chemická","Brno","Purkyňova 118","","www.fch.vutbr.cz"
"26410","VUT v Brně","Fakulta architektury","Brno","Poříčí 5","","www.fa.vutbr.cz"
"26420","VUT v Brně","Fakulta výtvarných umění","Brno","Rybářská 13/15","","www.ffa.vutbr.cz"
"26510","VUT v Brně","Fakulta podnikatelská","Brno","Kolejní 2906/4","","www.fbm.vutbr.cz"
"27000","VŠB-TU Ostrava","Vysoká škola báňská - Technická univerzita  Ostrava","Ostrava - Poruba","17. listopadu 2172/15","","www.vsb.cz"
"27120","VŠB-TU Ostrava","Fakulta stavební","Ostrava - Poruba","Ludvíka Podéště 1875","","www.vsb.cz"
"27200","VŠB-TU Ostrava","Fakulta bezpečnostního inženýrství","Ostrava - Vyskovice","Lumírova 13","","www.vsb.cz"
"27230","VŠB-TU Ostrava","Fakulta strojní","Ostrava - Poruba","17. listopadu 2172/15","","www.vsb.cz"
"27240","VŠB-TU Ostrava","Fakulta elektrotechniky a informatiky","Ostrava - Poruba","17. listopadu 2172/15","","www.vsb.cz"
"27350","VŠB-TU Ostrava","Hornicko-geologická fakulta","Ostrava - Poruba","17. listopadu 2172/15","","www.vsb.cz"
"27360","VŠB-TU Ostrava","Fakulta materiálově-technologická","Ostrava - Poruba","17. listopadu 2172/15","","www.vsb.cz"
"27510","VŠB-TU Ostrava","Ekonomická fakulta","Ostrava 1","Sokolská 33","","www.vsb.cz"
"28000","UTB ve  Zlíně","Univerzita Tomáše Bati ve Zlíně","Zlín","nám. T. G. Masaryka 5555","","www.utb.cz"
"28110","UTB ve  Zlíně","Fakulta technologická","Zlín","Vavrečkova 275","","www.utb.cz"
"28120","UTB ve  Zlíně","Fakulta managementu a ekonomiky","Zlín","Mostní 5139","","www.utb.cz"
"28130","UTB ve Zlíně","Fakulta multimediálních komunikací","Zlín","Univerzitní 2431","","www.utb.cz"
"28140","UTB ve Zlíně","Fakulta aplikované informatiky","Zlín","Nad Stráněmi 4511","","www.utb.cz"
"28150","UTB ve  Zlíně","Fakulta humanitních studií","Zlín","Štefánikova 5670","","www.utb.cz"
